Coke,40,50,57
Coke Zero,40,50,57
Sprite,40,50,57
Coke McFloat,NA,32,42
Green Apple Sprite McFloat,NA,32,42
McCafe Coffee Float,59,NA,NA
Iced Premium Roast Coffee Vanilla,52,NA,NA
Iced Premium Roast Coffee Plain,42,NA,NA
McCafe Premium Roast Coffee,32,45,NA
Hot Chocolate,37,NA,NA
Iced Tea,48,55,59
Orange Juice,48,55,59
Pineapple Juice,48,55,59
