Twister Fries BFF & 3 McFloat Combo,205
Twister Fries & McFloat Combo,95
BFF Fries N' McFloat Combo,180
Medium Fries N' McFloat Combo,82
Upgrade to Large Coke McFloat,10
Upgrade to Large Green Apple Sprite McFloat,10
