Twister Fries BFF,145,NA,NA,NA
Twister Fries,75,NA,NA,NA
Mushroom Soup,39,NA,NA,NA
BFF Fries,124,NA,NA,NA
Fries,NA,35,60,71
Extra Plain Rice,25,NA,NA,NA
